old_index,image_path,mask_path,target,type,true,pred,covid_prob
17454,../data/Normal/images\Normal-787.png,../data/Normal/masks\Normal-787.png,Normal,Normal,0,1,0.98
6378,../data/Lung_Opacity/images\Lung_Opacity-3485.png,../data/Lung_Opacity/masks\Lung_Opacity-3485.png,Lung_Opacity,Lung_Opacity,0,1,0.76
9868,../data/Normal/images\Normal-1040.png,../data/Normal/masks\Normal-1040.png,Normal,Normal,0,0,0.0
912,../data/COVID/images\COVID-182.png,../data/COVID/masks\COVID-182.png,COVID,COVID,1,1,1.0
572,../data/COVID/images\COVID-1513.png,../data/COVID/masks\COVID-1513.png,COVID,COVID,1,1,0.67
11441,../data/Normal/images\Normal-2457.png,../data/Normal/masks\Normal-2457.png,Normal,Normal,0,0,0.0
2137,../data/COVID/images\COVID-2922.png,../data/COVID/masks\COVID-2922.png,COVID,COVID,1,0,0.19
3545,../data/COVID/images\COVID-935.png,../data/COVID/masks\COVID-935.png,COVID,COVID,1,1,1.0
1574,../data/COVID/images\COVID-2415.png,../data/COVID/masks\COVID-2415.png,COVID,COVID,1,1,1.0
3573,../data/COVID/images\COVID-960.png,../data/COVID/masks\COVID-960.png,COVID,COVID,1,1,1.0
2624,../data/COVID/images\COVID-3360.png,../data/COVID/masks\COVID-3360.png,COVID,COVID,1,0,0.33
8610,../data/Lung_Opacity/images\Lung_Opacity-5494.png,../data/Lung_Opacity/masks\Lung_Opacity-5494.png,Lung_Opacity,Lung_Opacity,0,0,0.0
13673,../data/Normal/images\Normal-4466.png,../data/Normal/masks\Normal-4466.png,Normal,Normal,0,0,0.0
4735,../data/Lung_Opacity/images\Lung_Opacity-2005.png,../data/Lung_Opacity/masks\Lung_Opacity-2005.png,Lung_Opacity,Lung_Opacity,0,0,0.0
1940,../data/COVID/images\COVID-2745.png,../data/COVID/masks\COVID-2745.png,COVID,COVID,1,1,1.0
1841,../data/COVID/images\COVID-2656.png,../data/COVID/masks\COVID-2656.png,COVID,COVID,1,1,1.0
8317,../data/Lung_Opacity/images\Lung_Opacity-523.png,../data/Lung_Opacity/masks\Lung_Opacity-523.png,Lung_Opacity,Lung_Opacity,0,0,0.0
2769,../data/COVID/images\COVID-3491.png,../data/COVID/masks\COVID-3491.png,COVID,COVID,1,0,0.18
375,../data/COVID/images\COVID-1336.png,../data/COVID/masks\COVID-1336.png,COVID,COVID,1,1,1.0
9583,../data/Lung_Opacity/images\Lung_Opacity-959.png,../data/Lung_Opacity/masks\Lung_Opacity-959.png,Lung_Opacity,Lung_Opacity,0,0,0.01
2963,../data/COVID/images\COVID-410.png,../data/COVID/masks\COVID-410.png,COVID,COVID,1,1,1.0
1151,../data/COVID/images\COVID-2034.png,../data/COVID/masks\COVID-2034.png,COVID,COVID,1,1,1.0
323,../data/COVID/images\COVID-129.png,../data/COVID/masks\COVID-129.png,COVID,COVID,1,1,1.0
1916,../data/COVID/images\COVID-2723.png,../data/COVID/masks\COVID-2723.png,COVID,COVID,1,1,0.64
437,../data/COVID/images\COVID-1392.png,../data/COVID/masks\COVID-1392.png,COVID,COVID,1,1,1.0
9751,../data/Normal/images\Normal-10108.png,../data/Normal/masks\Normal-10108.png,Normal,Normal,0,0,0.34
417,../data/COVID/images\COVID-1374.png,../data/COVID/masks\COVID-1374.png,COVID,COVID,1,1,1.0
