,target,format,size,image_file,mask_file,URL
COVID-1,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1.png,../data/COVID/masks/COVID-1.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-10,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-10.png,../data/COVID/masks/COVID-10.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-100,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-100.png,../data/COVID/masks/COVID-100.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-1000,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1000.png,../data/COVID/masks/COVID-1000.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1001,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1001.png,../data/COVID/masks/COVID-1001.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1002,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1002.png,../data/COVID/masks/COVID-1002.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1003,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1003.png,../data/COVID/masks/COVID-1003.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1004,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1004.png,../data/COVID/masks/COVID-1004.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1005,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1005.png,../data/COVID/masks/COVID-1005.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1006,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1006.png,../data/COVID/masks/COVID-1006.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1007,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1007.png,../data/COVID/masks/COVID-1007.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1008,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1008.png,../data/COVID/masks/COVID-1008.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1009,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1009.png,../data/COVID/masks/COVID-1009.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-101,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-101.png,../data/COVID/masks/COVID-101.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-1010,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1010.png,../data/COVID/masks/COVID-1010.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1011,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1011.png,../data/COVID/masks/COVID-1011.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1012,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1012.png,../data/COVID/masks/COVID-1012.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1013,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1013.png,../data/COVID/masks/COVID-1013.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1014,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1014.png,../data/COVID/masks/COVID-1014.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1015,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1015.png,../data/COVID/masks/COVID-1015.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1016,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1016.png,../data/COVID/masks/COVID-1016.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1017,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1017.png,../data/COVID/masks/COVID-1017.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1018,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1018.png,../data/COVID/masks/COVID-1018.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1019,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1019.png,../data/COVID/masks/COVID-1019.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-102,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-102.png,../data/COVID/masks/COVID-102.png,https://sirm.org/category/senza-categoria/covid-19/
COVID-1020,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1020.png,../data/COVID/masks/COVID-1020.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1021,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1021.png,../data/COVID/masks/COVID-1021.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1022,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1022.png,../data/COVID/masks/COVID-1022.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1023,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1023.png,../data/COVID/masks/COVID-1023.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1024,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1024.png,../data/COVID/masks/COVID-1024.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1025,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1025.png,../data/COVID/masks/COVID-1025.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1026,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1026.png,../data/COVID/masks/COVID-1026.png,https://github.com/ieee8023/covid-chestxray-dataset
COVID-1027,COVID,PNG,"(299, 299)",../data/COVID/images/COVID-1027.png,../data/COVID/masks/COVID-1027.png,https://github.com/ieee8023/covid-chestxray-dataset
